5963861,1050294,1346177,554.22,33.25,587.47,2017-08-03,N
5994988,968622,106789,86399.76,14687.96,101087.72,2017-01-06,Y
13388776,554996,8395,48543.69,1456.31,50000,2017-08-22,N
6055156,1250542,1367144,87728.55,14913.85,102642.4,2017-08-02,N
6450842,1303970,910594,6752.14,1147.86,7900,2017-04-20,N
6934245,146754,740626,87504.53,14875.78,102380.31,2016-11-24,N
18740806,349926,932168,534487.19,90862.81,625350,2017-03-21,N
18733460,687085,1374389,9692.31,1647.69,11340,2017-03-15,N
6996181,627632,876570,45470.09,7729.91,53200,2017-09-19,N
13721721,587383,1374357,8205.13,1394.87,9600,2017-01-19,N
1128468,615635,1170653,2349.51,70.49,2420,2017-07-06,N
1118246,1117584,1110366,25641.09,4358.99,30000.08,2017-10-27,N
14464121,563760,1246309,3301.89,198.11,3500,2017-10-24,Y
15616881,779532,1417379,1908.35,57.25,1965.6,2017-05-04,N
395958,839641,157932,172.13,22.37,194.5,2017-01-16,N
3223040,42919,160791,85915.7,14605.67,100521.37,2017-08-04,Y
3167824,839641,1058058,172.56,29.34,201.9,2017-09-18,N
15966948,328560,107245,156303.42,26571.58,182875,2016-12-21,N
1682990,982366,832509,658872.31,112008.29,770880.6,2017-08-02,N
5024436,1053428,341663,159903.25,27183.55,187086.8,2017-04-19,Y
16918868,769232,402837,34133.33,5802.67,39936,2016-12-08,N
6625427,715842,1024968,0,0,0,2017-03-23,Y
6641141,967933,142685,51282.05,8717.95,60000,2017-11-03,N
3943244,473066,1267865,21006.32,3571.08,24577.4,2017-08-04,N
5470848,1110255,320456,849.06,50.94,900,2017-03-30,N
87025,1381522,1285576,79772.28,13561.31,93333.59,2016-12-15,N
67391,928030,463901,2387.18,405.82,2793,2017-06-28,N
8323480,1303769,223538,80427.36,13672.66,94100.02,2017-08-24,N
7240005,839641,2171,42.65,7.25,49.9,2016-12-29,N
1981203,537277,805560,29126.21,873.79,30000,2017-02-24,N
2049627,804189,640978,56350.43,9579.57,65930,2017-10-03,N
7775989,359062,1417335,13714.29,685.71,14400,2017-08-25,N
3580470,298670,189431,99686.32,16946.68,116633,2017-01-17,N
16567142,234431,947143,99230.77,16869.23,116100,2017-01-22,N
16550504,535584,92869,-2503.85,-425.65,-2929.5,2017-06-29,N
12500874,1203217,306280,3333.33,566.67,3900,2017-08-11,N
17331756,541563,767123,85331.42,14506.34,99837.76,2017-04-01,N
5585846,839641,816372,400.85,68.15,469,2016-12-02,N
5559745,740626,258601,466194.81,79253.12,545447.93,2017-11-03,N
12790995,108425,1111723,62196.62,10573.43,72770.05,2017-10-23,N
7751679,1074768,785102,2230.77,379.23,2610,2017-05-04,N
18124838,1203263,45929,13508.72,2296.48,15805.2,2017-06-28,N
18538925,113991,357193,82296.9,13990.5,96287.4,2017-11-06,N
12382987,1200361,984723,885.79,150.59,1036.38,2017-07-24,Y
12311648,99786,102827,1880.34,319.66,2200,2017-09-21,N
18807556,36542,1398103,94871.79,16128.21,111000,2017-04-18,N
12860443,983577,555690,269.23,45.77,315,2017-02-13,N
14733219,338409,274314,42735.04,7264.96,50000,2017-01-18,N
12896708,1359994,654731,241944.09,41130.49,283074.58,2016-12-20,N
12971176,442101,870487,11476.92,1951.08,13428,2017-04-20,N
13603155,1210512,1094901,30829.04,5240.96,36070,2017-09-21,N
13591314,1239042,1374550,3874066.5,658591.3,4532657.8,2017-11-15,N
14763606,327508,484989,72256.83,12283.65,84540.48,2017-08-27,N
15211251,142508,128560,43348.1,7369.18,50717.28,2017-06-21,N
92135,1107346,633568,98290.6,16709.4,115000,2016-11-28,N
1029021,1160898,584150,4870.06,827.94,5698,2017-04-27,N
5551572,1176236,953573,54222.22,9217.78,63440,2017-08-28,N
5597687,1328239,78548,283.02,16.98,300,2017-03-21,N
5707122,905196,932226,1085.47,184.53,1270,2017-09-27,N
8519747,349415,1285364,170940.17,29059.83,200000,2017-09-26,N
13631579,1177261,1133038,85470.09,14529.91,100000,2017-02-10,N
14831815,1131962,999462,7692.31,1307.69,9000,2016-12-15,N
1748577,214221,839749,286.49,31.51,318,2017-01-09,N
2771813,1124310,619141,99993.16,16998.84,116992,2017-11-22,N
2816369,93231,1139014,98991.45,16828.55,115820,2017-04-21,N
3988976,50355,939714,13957.26,2372.74,16330,2017-11-20,N
1078843,1231893,1331794,471.7,28.3,500,2017-08-04,N
2808224,1275025,504685,90949.06,15461.34,106410.4,2017-09-07,Y
821050,363104,1375220,4266.53,725.31,4991.84,2017-05-27,N
796531,932869,958470,21500.86,3655.14,25156,2017-07-21,N
4435087,391604,683133,341.88,58.12,400,2017-06-04,N
6478006,890047,727472,439386.51,74695.69,514082.2,2017-04-12,N
4533237,819727,505578,508.64,15.26,523.9,2016-11-04,N
17396549,1071933,1405375,52991.45,9008.55,62000,2017-09-13,N
17359471,138241,682928,649.57,110.43,760,2016-12-14,N
8132334,634901,385190,240.78,7.22,248,2017-09-08,N
19087680,1183813,570065,25641.03,4358.97,30000,2017-03-24,N
2388715,1346207,205170,92392.82,15706.78,108099.6,2016-12-27,N
19650043,1337988,796854,524.53,31.47,556,2017-03-01,N
19657184,387980,25097,943.4,56.6,1000,2017-01-13,Y
15774306,839641,507433,58.97,10.03,69,2017-03-17,N
4310664,363664,690495,3664.6,623,4287.6,2017-03-27,N
16962474,839641,29899,54.7,9.3,64,2016-11-06,N
16972017,839641,55310,28.2,4.8,33,2017-09-25,N
17672616,441766,484662,81309.82,13822.67,95132.49,2017-04-15,N
5914672,662072,930034,20094.02,3415.98,23510,2017-08-31,Y
17924813,1321053,1139662,418.8,71.2,490,2017-05-10,N
17944822,946627,647953,64166.06,10908.24,75074.3,2017-08-21,N
18899508,839641,465081,33.08,5.62,38.7,2017-06-26,N
7042468,1239048,172196,11438.46,1944.54,13383,2017-03-21,N
9622311,694836,1017786,222.22,37.78,260,2017-10-10,N
9637505,1135009,205957,26538.46,4511.54,31050,2017-02-21,N
186382,935398,163746,7977.78,1356.22,9334,2017-08-14,N
9997622,1090329,512671,30639.06,5208.64,35847.7,2017-08-17,Y
11171985,896902,1403576,509.43,30.57,540,2016-12-09,N
574775,1253581,956170,64102.56,10897.44,75000,2016-12-23,N
8362412,11316,7416,99996.75,16999.45,116996.2,2017-02-06,N
8353190,957056,445453,433760.68,73739.32,507500,2017-08-10,N
11848766,378182,897283,1076.92,183.08,1260,2017-10-11,N
12923003,1412081,563588,4243.59,721.41,4965,2017-06-24,N
2101329,201650,1139857,84773.93,14411.57,99185.5,2017-02-16,N
9716998,669434,1410198,2698.29,458.71,3157,2017-05-08,Y
3458798,1275096,379396,18376.07,3123.93,21500,2017-03-03,N
3466968,633501,634205,41452.99,7047.01,48500,2017-11-01,N
6372725,1417376,784583,2383.5,405.2,2788.7,2017-07-07,N
9758950,1203471,1026659,4074.07,692.59,4766.66,2017-08-15,N
8578883,989444,64,29367.52,4992.48,34360,2016-12-20,N
14393662,839641,1069683,335.82,57.08,392.9,2016-11-12,N
14978461,99773,1024968,0,0,0,2017-01-03,Y
14959166,1053478,357383,26262.3,4464.59,30726.89,2017-07-13,N
13818018,839835,120982,7606.84,1293.16,8900,2017-03-26,N
15630934,1181799,845859,178290.6,30309.4,208600,2016-11-25,N
14880763,1364507,811183,185.65,31.56,217.21,2016-12-12,N
14925089,793283,391521,9969.23,1694.77,11664,2017-10-09,N
15870849,839641,165613,152.14,25.86,178,2017-04-11,N
